feature,coefficient_log_price,absolute_coefficient
make_model_Renault Espace,0.327198069436668,0.327198069436668
make_model_Audi A3,0.2622287163255651,0.2622287163255651
make_model_Opel Corsa,-0.2451652530978086,0.2451652530978086
make_model_infrequent_sklearn,-0.2242250164624818,0.2242250164624818
make_model_Renault Clio,-0.19721339876826033,0.19721339876826033
make_model_Audi A1,0.17016075587498397,0.17016075587498397
Gearing_Type_Manual,-0.12500373307667292,0.12500373307667292
Gearing_Type_Semi-automatic,0.11655638363368649,0.11655638363368649
hp_kW,0.11315529915830314,0.11315529915830314
age,-0.10964006542220729,0.10964006542220729
make_model_Opel Insignia,0.10576887113928474,0.10576887113928474
Type_Demonstration,0.08658442428916377,0.08658442428916377
num_comfort_convenience,0.05079167137245236,0.05079167137245236
make_model_Opel Astra,-0.0467524154109035,0.0467524154109035
km,-0.04528319661580036,0.04528319661580036
body_type_Transporter,-0.04429818615411238,0.04429818615411238
km_per_year,-0.0441139588181232,0.0441139588181232
Type_New,0.031745367455162814,0.031745367455162814
Fuel_Benzine,-0.031702313357156675,0.031702313357156675
Upholstery_type_Cloth,-0.027728494903549124,0.027728494903549124
Drive_chain_4WD,0.02655886521116338,0.02655886521116338
body_type_Compact,0.01979077468021352,0.01979077468021352
Gears,0.01408640502099145,0.01408640502099145
num_entertainment_media,-0.013871725562714174,0.013871725562714174
body_type_Sedans,0.012708534660321668,0.012708534660321668
Type_Employee's car,-0.011675160807775172,0.011675160807775172
Type_Pre-registered,-0.011270084184352935,0.011270084184352935
body_type_Van,0.01052619784048219,0.01052619784048219
num_safety_security,-0.01040654768749107,0.01040654768749107
vat_Price negotiable,-0.00988752646793256,0.00988752646793256
Displacement_cc,-0.007538602601952503,0.007538602601952503
cons_comb,0.004681363150222505,0.004681363150222505
Weight_kg,-0.0035425322005794096,0.0035425322005794096
num_extras,0.0026388893292732967,0.0026388893292732967
Paint_Type_Metallic,0.002352704211460003,0.002352704211460003
Inspection_new,-0.001194086739888391,0.001194086739888391
vat_VAT deductible,1.5350620672255213e-15,1.5350620672255213e-15
Upholstery_type_Part/Full Leather,7.506323125835977e-17,7.506323125835977e-17
Previous_Owners,0.0,0.0
power_to_weight,0.0,0.0
body_type_Station wagon,-0.0,0.0
body_type_infrequent_sklearn,-0.0,0.0
body_type_Coupe,-0.0,0.0
body_type_Off-Road,-0.0,0.0
Fuel_Diesel,0.0,0.0
Paint_Type_infrequent_sklearn,-0.0,0.0
Paint_Type_Uni/basic,-0.0,0.0
Fuel_infrequent_sklearn,0.0,0.0
Fuel_LPG/CNG,-0.0,0.0
Type_Used,-0.0,0.0
Gearing_Type_Automatic,0.0,0.0
Drive_chain_front,-0.0,0.0
Drive_chain_infrequent_sklearn,-0.0,0.0
